"","MUC9905","MUC9906","MUC9907","MUC9908","MUC9909","MUC9910","MUC9911","MUC9912","MUC9913","MUC9914","MUC9915","MUC9916","MUC9917","MUC9918","MUC9919","MUC9920","MUC9921","MUC9922","MUC9923","MUC9924","MUC9925","MUC9926","MUC9927","MUC9928","MUC9929","MUC9930","MUC9931","MUC9932","MUC9933","MUC9934","MUC9935","MUC9936","MUC9937","MUC9938","MUC9939","MUC9940"
"ENSMUSG00000036095",499.097736556939,553.149964749447,517.696720964686,564.490865289747,1263.45625089273,1287.97194183179,655.471350721023,28.397472780081,29.0158486375076,16.2420402053037,56.805635828595,416.414243943805,433.705011922943,380.113913868868,1761.35213490714,1450.68928927501,1338.33453761981,20.2325424545202,15.3593299179899,65.93376374774,52.5877110015179,565.406363503211,1071.11233786838,878.758678517485,17.4044132747441,20.0527549613855,24.6018574405983,538.589381075769,456.698707208378,1442.44143511918,1494.11783642144,20.2883821257328,24.8600997607175,68.6309412347562,6797.46545927295,7223.21913529961
"ENSMUSG00000036097",3500.90251159258,3623.59392689433,3366.53361859884,4148.2014443578,3610.65890591711,3566.50996476695,3987.21828023703,3994.25142999829,3761.61461736648,4888.85410179642,4740.83606443788,4318.36993719501,4569.79488922117,4795.62321567119,3468.29643531046,3327.73308947021,3092.83707776114,3321.17184390949,3816.34173962291,4391.18866559948,4469.95543512902,4073.90576754394,3785.00798998391,3841.53003336102,3884.44748775695,4114.35348854781,4064.22684918683,4404.85480376939,4455.34961032174,3505.92377515898,3362.2890161826,4106.94821030906,3623.08932164891,4396.35884431337,135.899891043261,132.746105781805
"ENSMUSG00000036098",61.8716202343312,62.9533343796791,42.1381051948,62.9004107037147,52.8154893152768,56.6487353768411,53.6928659633178,49.94038316497,39.4615541470103,58.4713447390934,28.4028179142975,52.6187933523762,77.9233591161789,45.6726020540113,42.226976032813,56.9074876863798,43.5116629955051,35.4069492954103,44.271009763618,65.93376374774,56.8286554371241,50.1886369822545,45.8041460272663,42.5485921416569,32.6332748901452,40.1055099227711,46.7435291371367,54.7893228349631,58.1252900083391,53.2320775646239,52.3884234369368,34.7800836441134,44.3158300082355,50.727217434385,7813.0082814326,7211.01259683692
"ENSMUSG00000036099",2716.16412828714,2953.77044909455,3192.71393467029,2652.30065133997,2810.19558084012,3040.14879855714,3386.83441537448,6266.04925240477,5847.27381743053,5733.44019247222,5652.97227402847,2316.1341280796,2299.76440128407,2092.09983602245,2376.07945907713,2490.38005637062,2537.71247406043,4775.89164638949,5012.56249323577,4619.75904659165,4592.09463487448,2821.54243534612,2945.55892913805,3556.71496759646,5816.33736125355,5870.73890840093,5898.29532138343,2256.69984431555,1978.10510758538,2555.13972310195,2579.60597003477,5190.92748388393,4738.55118917328,4942.42242022469,134.664437488323,167.839903862053
"ENSMUSG00000036103",113.431303762941,120.031024217255,103.087864494421,99.9955247084695,157.760552500177,173.880146087248,134.580819882082,82.2547487423035,90.5294477490236,142.929953806673,107.93070807433,157.856380057129,158.922640302733,163.537381548234,288.280317147089,289.053905708596,294.756426743744,74.8604070817247,101.190879459698,97.5819703466552,81.4261331636405,97.2404841531182,132.127344309422,143.275871497416,60.9154464616044,69.5948554542204,82.4162224260042,118.882492943788,182.679482883351,375.581880594846,328.999299183963,84.0518688066074,65.9333080610333,96.4811782575558,3003.38759205608,2711.37735602607
"ENSMUSG00000036104",1681.87687670324,2026.25798923394,1770.55288434579,1941.84857659673,1964.46183635004,1820.62741197236,1740.48562914859,1860.52407869496,1627.20879159142,1715.15944568007,1634.379293697,1425.24352338936,1538.98634254453,1484.35956675537,1571.33074275948,1625.02492615551,1647.82878570074,1701.55682042515,1638.02736125387,1856.69478713636,2009.35947359025,1808.35932626686,1744.08094488437,1689.78694505437,1776.33792985357,1930.9623453993,1852.51986527705,1539.26984342,1420.84042242607,1545.20891819533,1583.17815626423,1836.09858237882,1784.52281325846,1884.86425565019,3091.10479445673,3289.66211569623
"ENSMUSG00000006494",1644.75390456264,1921.33576526781,1552.33769672987,2120.06640692392,1244.25061841444,1361.14322502688,1140.79907423361,1639.21963565019,1554.08885302491,1195.41415911035,1209.14853406581,1126.76795420088,1123.73686304384,1288.40937084622,1590.00805908169,1333.2611400809,1202.18514050484,1354.56871733013,1028.17161451015,1425.04841380115,1913.51412934555,1822.47488041812,1691.2300071606,1270.37939394376,1575.09940136434,1529.90724617159,1552.37720450175,1051.33474194637,1155.12481095937,1484.58349652451,1398.77090576621,1365.11828303145,1064.66079410029,1706.82166896872,196.43711523526,207.511153865811
"ENSMUSG00000036106",113.431303762941,88.9740459232799,120.394586270857,58.8683330945022,226.352097065472,186.468753948769,193.154855478429,585.575473189256,637.188036079666,311.847171941832,335.964760471976,67.1343225530317,83.049895900138,67.0355933373392,164.847617974251,143.623659398958,167.028641821455,117.348746236217,84.0245695513566,98.461087196625,141.64754414925,58.0306115107318,162.076209019558,246.608166698583,676.596566055678,678.254947223335,744.206187578098,48.586757985722,67.3515265175993,145.648878892096,160.308575717027,160.857886854025,101.60214684815,97.4758295797986,177.905311911179,192.252980787442
"ENSMUSG00000036109",241.299318913892,236.704537267594,193.383804197564,332.243194999108,124.836611108836,115.657834727717,123.423860720873,77.3586327457379,75.4412064575197,162.420402053037,109.553726240862,285.774481137905,276.832986333793,257.829205143612,110.439783470434,142.720365943619,106.673754440593,78.9069155726287,110.225779411457,96.7028534966853,122.139199745461,256.432567081207,130.365646385297,92.9122318195365,84.8465147143776,70.7744292754784,59.0444578574358,201.583357600336,256.489374957433,113.118164824826,112.111226155045,137.671164424616,63.7715602557536,101.45443486877,0,3.05163461567368
"ENSMUSG00000036110",1.03119367057219,3.35751116691622,3.00986465677143,0.806415521842496,4.11549267391767,4.72072794807009,2.78923979030223,0.979223199313137,0,16.2420402053037,1.62301816653129,2.72166172512291,0,3.68327435919446,6.49645785120199,1.80658691067872,2.1054030481696,1.01162712272601,1.80697999035175,0.879116849969866,0,0.784197452847727,2.64254688618844,1.73667723027171,5.43887914835754,7.07744292754784,3.69027861608974,4.1350432328274,6.45836555648212,0.739334410619776,3.14330540621621,1.44917015183806,0,1.98930264448569,632.552220128635,402.815769268926
"ENSMUSG00000036111",3785.5119646705,3074.64085110353,4216.06791797258,3006.31706542883,2566.69559763332,2882.00441229679,3216.69078816604,2105.32987852325,2685.7069498877,2696.17867408042,1878.64352775996,3674.24332891593,4147.36825822294,4933.37767670506,1340.70648904181,1669.28630546714,1535.5406231317,465.348476453964,418.315867766431,403.514634136169,407.978854705324,3041.90191959633,2984.31628346882,3072.18202035065,2275.62703567279,2908.82904322216,3407.35725552286,3864.19790107721,5270.02629408941,1616.92435602545,1235.31902464297,415.911833577523,512.334229851308,420.737509308723,8953.33191264105,10709.7116837068
"ENSMUSG00000036112",5888.11585896719,5336.76399981333,5774.42534401599,5810.22383487518,5898.87283261533,5339.93009725862,6144.6952580358,4928.43036214302,5648.80541274997,4648.47190675793,5817.70861793139,7070.87716186932,7469.36409422846,7530.08609993715,6387.64218219436,6080.06824788924,6396.9162613553,7770.30792965848,7187.2629116241,6559.96993447514,7275.76427372613,6578.63243193958,5915.78162921386,5810.92201248914,5090.79088286266,5205.45927321144,5806.03835598119,8270.0864656548,8005.60541908505,5608.59083896162,6472.06583139917,5956.08932405442,6870.03452517915,6844.195748353,980.95012262136,1058.91721163877
"ENSMUSG00000036114",802.268675705162,616.103299129127,720.110119132565,850.768375543833,666.02389772901,656.181184781742,642.919771664663,408.336074113578,516.482105747635,519.745286569719,522.611849623074,926.27220711683,933.029694680563,1078.46273237214,747.90471011963,775.929078136512,918.657530018002,1003.5341057442,806.816565692058,751.644906724236,738.772520682614,846.149051622698,685.30049248487,652.990638582163,546.063466495097,502.498447855896,408.390833513931,1022.38943931657,1054.55883300844,774.822462329526,693.622726305043,610.100633923823,914.419321633348,744.993840359889,1.23545355493874,0
"ENSMUSG00000036117",0,0,0,0,0,0,0.697309947575556,0,0,0,0,0,0,0,0,0.903293455339362,0,0,0,0,0,0,0,1.73667723027171,4.35110331868603,1.17957382125797,0,0,0,0,0,0,0,0,1077.31549990658,782.7442789203
"ENSMUSG00000036120",1033.25605791333,1083.63672912221,1058.71989301935,1158.01268936582,1092.66330492514,979.551049224543,813.760708820674,568.928678800933,533.891614930139,500.254838323355,452.010559378963,969.818794718796,1234.47005757736,995.220731854343,1071.91554544833,1044.2072343723,1080.07176371101,628.220443212852,626.118566656883,689.227610376375,586.098521000788,1053.96137662735,1100.18035361646,906.545514201832,675.508790226006,660.561339904465,766.347859274636,1042.0308946725,1129.29134873345,1223.59844957573,1072.91491198847,695.601672882268,631.230359141696,601.76404995692,16.0608962142036,6.10326923134737
"ENSMUSG00000036123",2.06238734114437,4.19688895864528,0,3.22566208736998,3.42957722826473,3.14715196538006,2.78923979030223,1.95844639862627,5.80316972750151,3.24840804106075,4.86905449959386,1.81444115008194,0,5.15658410287224,12.1808584710037,21.6790429281447,10.527015240848,2.02325424545202,6.32442996623114,1.75823369993973,0.848188887121256,0.784197452847727,5.28509377237689,1.73667723027171,6.52665497802905,3.53872146377392,3.69027861608974,2.0675216164137,3.69049460370407,4.43600646371866,10.4776846873874,8.69502091102835,1.08087390263989,1.98930264448569,37.0636066481622,41.1970673115947
